mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/8		1/8	1		3	45	3	1	
1	1	0	1/8		1/8	1		4	52	3	1	
1	1	0	1/8		1/8	1		0	60	2	2	
1	1	0	1/8		1/8	1		4	64	2	1	
1	1	1/8	1/16		1/16	1		3	57	3	1	
1	1	1/8	1/16		1/16	1		3	69	2	1	
1	1	3/16	1/16		1/16	1		5	59	3	1	
1	1	3/16	1/16		1/16	1		5	71	2	1	
1	1	1/4	1/8		1/8	1		0	60	3	1	
1	1	1/4	1/4		1/4	1	1	0	72	2	1	
1	1	3/8	1/8		1/8	1		3	45	3	1	
1	1	3/8	1/8		1/8	1		4	52	3	1	
1	1	3/8	1/8		1/8	1		3	57	3	1	
1	1	3/8	1/8		1/8	1		0	60	2	2	
1	1	3/8	1/8		1/8	1		4	64	2	2	
2	2	0	1/8		1/8	1		3	45	3	1	
2	2	0	1/8		1/8	1		-1	53	3	1	
2	2	0	1/8		1/8	1		3	57	3	1	
2	2	0	1/8		1/8	1		2	62	2	2	
2	2	0	1/8		1/8	1		-1	65	2	2	
2	2	0	1/8		1/8	1	-1	0	72	2	1	
2	2	1/8	1/16		1/16	1		2	62	3	1	
2	2	1/8	1/16		1/16	1		2	74	2	1	
2	2	3/16	1/16		1/16	1		4	64	3	1	
2	2	3/16	1/16		1/16	1		4	76	2	1	
2	2	1/4	1/8		1/8	1		-1	65	3	1	
2	2	1/4	1/4		1/4	1		-1	77	2	1	
2	2	3/8	1/8		1/8	1		3	45	3	1	
2	2	3/8	1/8		1/8	1		-1	53	3	1	
2	2	3/8	1/8		1/8	1		3	57	3	1	
2	2	3/8	1/8		1/8	1		-1	65	2	2	
2	2	3/8	1/8		1/8	1		3	69	2	2	
2	2	3/8	1/8		1/8	1		2	74	2	2	
3	3	0	1/8		1/8	1		3	45	3	1	
3	3	0	1/8		1/8	1		4	52	3	1	
3	3	0	1/8		1/8	1		3	57	3	1	
3	3	0	1/8		1/8	1		4	64	2	1	
3	3	0	1/8		1/8	1		3	69	2	1	
3	3	0	1/8		1/8	1		0	72	2	1	
3	3	0	1/8		1/8	1		4	76	2	1	
3	3	1/8	1/8		1/8	1		0	48	3	1	
3	3	1/8	1/16		1/16	1		5	71	2	1	
3	3	1/8	1/16		1/16	1		2	74	2	1	
3	3	3/16	1/16		1/16	1		3	69	2	1	
3	3	3/16	1/16		1/16	1		0	72	2	1	
3	3	1/4	1/8		1/8	1		4	52	3	1	
3	3	1/4	1/8		1/8	1		3	69	2	1	
3	3	1/4	1/8		1/8	1		5	71	2	1	
3	3	3/8	1/8		1/8	1		4	40	3	1	
3	3	3/8	1/8		1/8	1		4	52	3	1	
3	3	3/8	1/8		1/8	1		4	64	2	1	
3	3	3/8	1/8		1/8	1		8	68	2	1	
3	3	3/8	1/8		1/8	1		5	71	2	1	
3	3	3/8	1/8		1/8	1		4	76	2	1	
4	4	0	1/4		1/4	1		3	45	3	1	
4	4	0	1/4		1/4	1		4	52	3	1	
4	4	0	1/4		1/4	1		3	57	3	1	
4	4	0	1/4		1/4	1		0	60	2	1	
4	4	0	1/4		1/4	1		4	64	2	1	
4	4	0	1/4		1/4	1		3	69	2	1	
4	4	1/4	1/4		1/4	1		3	45	3	1	
4	4	1/4	1/4		1/4	1		3	57	2	1	
5	5	0	1/8		1/8	1		3	45	3	1	
5	5	0	1/8		1/8	1		4	52	3	1	
5	5	0	1/8		1/8	1		0	60	2	1	
5	5	0	1/8		1/8	1		4	64	1	1	
5	5	0	1/8		1/8	1		4	64	2	1	
5	5	1/8	1/16		1/16	1		3	69	1	1	
5	5	3/16	1/16		1/16	1		5	71	1	1	
5	5	1/4	1/4		1/4	1	1	0	72	1	1	
5	5	3/8	1/16		1/16	1		3	57	3	1	
5	5	3/8	1/16		1/16	1		3	69	2	1	
5	5	7/16	1/16		1/16	1		5	59	3	1	
5	5	7/16	1/16		1/16	1		5	71	2	1	
6	6	0	1/8		1/8	1		0	60	3	1	
6	6	0	1/8		1/8	1	-1	0	72	1	1	
6	6	0	1/8		1/8	1		0	72	2	1	
6	6	1/8	1/8		1/8	1		5	59	3	1	
6	6	1/8	1/8		1/8	1		5	71	1	1	
6	6	1/8	1/8		1/8	1		5	71	2	1	
6	6	1/4	1/8		1/8	1		3	57	3	1	
6	6	1/4	1/8		1/8	1		3	69	1	1	
6	6	1/4	1/8		1/8	1		3	69	2	1	
6	6	3/8	1/8		1/8	1		2	50	3	1	
6	6	3/8	1/8		1/8	1		5	59	3	1	
6	6	3/8	1/8		1/8	1		-1	65	2	1	
6	6	3/8	1/8		1/8	1		5	71	1	1	
6	6	3/8	1/8		1/8	1		5	71	2	1	
7	7	0	1/2		1/2	1		4	52	3	1	
7	7	0	1/2		1/2	1		8	56	3	1	
7	7	0	1/2		1/2	1		5	59	2	1	
7	7	0	1/4		1/4	1		4	64	1	1	
7	7	0	1/2		1/2	1		4	64	2	1	
8	8	0	3/16		1/8	3/2		5	47	3	1	
8	8	0	3/16		1/8	3/2		8	56	3	1	
8	8	0	3/16		1/8	3/2		5	59	2	1	
8	8	0	3/16		1/8	3/2		4	64	2	1	
8	8	0	3/16		1/8	3/2		5	71	1	1	
8	8	0	3/16		1/8	3/2		5	71	2	1	
8	8	3/16	1/16		1/16	1		5	47	3	1	
8	8	3/16	1/16		1/16	1		8	56	3	1	
8	8	3/16	1/16		1/16	1		5	59	2	1	
8	8	3/16	1/16		1/16	1		4	64	2	1	
8	8	3/16	1/16		1/16	1		5	71	2	1	
8	8	3/16	1/16		1/16	1		7	73	1	1	
8	8	1/4	1/8		1/8	1		5	47	3	1	
8	8	1/4	1/8		1/8	1		3	57	3	1	
8	8	1/4	1/8		1/8	1		5	59	2	1	
8	8	1/4	1/8		1/8	1		9	63	2	1	
8	8	1/4	1/8		1/8	1		6	66	2	1	
8	8	1/4	1/16		1/16	1		5	71	1	1	
8	8	1/4	1/8		1/8	1		5	71	2	1	
8	8	5/16	1/16		1/16	1		3	69	1	1	
8	8	3/8	1/8		1/8	1		5	47	3	1	
8	8	3/8	1/8		1/8	1		3	57	3	1	
8	8	3/8	1/8		1/8	1		5	59	2	1	
8	8	3/8	1/8		1/8	1		9	63	2	1	
8	8	3/8	1/8		1/8	1		6	66	2	1	
8	8	3/8	1/16		1/16	1		8	68	1	1	
8	8	3/8	1/8		1/8	1		5	71	2	1	
8	8	7/16	1/16		1/16	1		6	66	1	1	
9	9	0	1/4		1/4	1		4	52	3	1	
9	9	0	1/4		1/4	1		8	56	3	1	
9	9	0	1/4		1/4	1		5	59	2	1	
9	9	0	1/4		1/4	1		4	64	2	1	
9	9	0	1/4		1/4	1		8	68	1	1	
9	9	0	1/4		1/4	1		8	68	2	1	
9	9	1/4	1/4		1/4	1		4	52	3	1	
9	9	1/4	1/4		1/4	1		8	56	3	1	
9	9	1/4	1/4		1/4	1		5	59	2	1	
9	9	1/4	1/4		1/4	1		4	64	1	1	
9	9	1/4	1/4		1/4	1		4	64	2	1	
10	10	0	1/4		1/4	1		5	47	3	1	
10	10	0	1/4		1/4	1		8	56	3	1	
10	10	0	1/4		1/4	1		4	64	2	2	
10	10	0	1/16		1/16	1		5	71	2	1	
10	10	1/16	1/16		1/16	1		4	76	2	1	
10	10	1/8	1/16		1/16	1		9	75	2	1	
10	10	3/16	1/16		1/16	1		7	73	2	1	
10	10	1/4	1/8		1/8	1		5	47	3	1	
10	10	1/4	1/8		1/8	1		6	54	3	1	
10	10	1/4	1/8		1/8	1		9	63	2	2	
10	10	1/4	1/16		1/16	1		5	71	2	1	
10	10	5/16	1/16		1/16	1		3	69	2	1	
10	10	3/8	1/8		1/8	1		5	47	3	1	
10	10	3/8	1/8		1/8	1		3	57	3	1	
10	10	3/8	1/8		1/8	1		9	63	2	2	
10	10	3/8	1/16		1/16	1		8	68	2	1	
10	10	7/16	1/16		1/16	1		6	66	2	1	
11	11	0	1/4		1/4	1		4	52	3	1	
11	11	0	1/4		1/4	1		8	56	3	1	
11	11	0	1/4		1/4	1		4	64	2	2	
11	11	0	1/4		1/4	1		8	68	2	1	
11	11	1/4	1/4		1/4	1		4	40	3	1	
11	11	1/4	1/4		1/4	1		4	52	3	1	
11	11	1/4	1/4		1/4	1		4	64	2	1	
11	11	1/4	1/4		1/4	1		4	64	2	2	
