mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	3	1	f#.i	f#	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1	2.0	1/4	1/4	3/4	3	1	V43	f#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
2	2	3	3	1.0	0	0	3/4	3	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
2	2	4	4	2.0	1/4	1/4	3/4	3	1	V43	f#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
3	3	6	6	1.0	0	0	3/4	3	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
3	3	7	7	1.0	1/4	1/4	3/4	3	1	V(64)	f#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
3	3	8	8	1.0	1/2	1/2	3/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	9	9	9.0	0	0	3/4	3	1	i\\	f#	i		i	i						\\	m	1	1	0, -3, 1		0	0
7	7	18	18	2.0	0	0	3/4	3	1	V	f#	i		V	V							M	1	1	1, 5, 2		1	1
7	7	20	20	1.0	1/2	1/2	3/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	21	21	9.0	0	0	3/4	3	1	i\\	f#	i		i	i						\\	m	1	1	0, -3, 1		0	0
11	11	30	30	2.0	0	0	3/4	3	1	V(64)	f#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
11	11	32	32	1.0	1/2	1/2	3/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	33	33	1.0	0	0	3/4	3	1	V65/iv	f#	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
12	12	34	34	2.0	1/4	1/4	3/4	3	1	#viio7/iv	f#	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
13	13	36	36	1.0	0	0	3/4	3	1	iv	f#	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
13	13	37	37	1.0	1/4	1/4	3/4	3	1	V(64)	f#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
13	13	38	38	1.0	1/2	1/2	3/4	3	1	V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	39	39	4.0	0	0	3/4	3	1	i\\	f#	i		i	i						\\	m	1	1	0, -3, 1		0	0
15	15	43	43	2.0	1/4	1/4	3/4	3	1	V43	f#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
16	16	45	45	1.0	0	0	3/4	3	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
16	16	46	46	2.0	1/4	1/4	3/4	3	1	V43	f#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
17	17	48	48	1.0	0	0	3/4	3	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
17	17	49	49	1.0	1/4	1/4	3/4	3	1	III.V(64)	f#	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
17	17	50	50	1.0	1/2	1/2	3/4	3	1	V7	f#	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	18	51	51	3.0	0	0	3/4	3	1	I\\	f#	III		I	I						\\	M	1	0	0, 4, 1		0	0
19	19	54	54	6.0	0	0	3/4	3	1	viio2	f#	III		viio2	vii	o	2					o7	1	0	-4, 5, 2, -1		5	-4
21	21	60	60	3.0	0	0	3/4	3	1	V(64)	f#	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
22	22	63	63	3.0	0	0	3/4	3	1	V	f#	III		V	V							M	1	0	1, 5, 2		1	1
23	23	66	66	6.0	0	0	3/4	3	1	viio2	f#	III		viio2	vii	o	2					o7	1	0	-4, 5, 2, -1		5	-4
