mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match
1	0	0	3.25	0	11/16	3/4	1	1	0	.c.i[i	dcml
3	2	13/4	3.0	0	0	3/4	1	1	0	V2	dcml
4	3	25/4	3.0	0	0	3/4	1	1	0	#viio65	dcml
5	4	37/4	6.0	0	0	3/4	1	1	0	i\\	dcml
7	6	61/4	3.0	0	0	3/4	1	1	0	V2	dcml
8	7	73/4	3.0	0	0	3/4	1	1	0	#viio65	dcml
9	8	85/4	3.0	0	0	3/4	1	1	0	i	dcml
10	9	97/4	3.0	0	0	3/4	1	1	0	#viio65	dcml
11	10	109/4	3.0	0	0	3/4	1	1	0	i]\\	dcml
12	11	121/4	2.5	0	0	3/4	1	1	0	V.I6	dcml
12	11	131/4	0.5	5/8	5/8	3/4	1	1	0	#viio65/ii	dcml
13	12	133/4	1.0	0	0	3/4	1	1	0	ii6(9)	dcml
13	12	137/4	1.5	1/4	1/4	3/4	1	1	0	ii	dcml
13	12	143/4	0.5	5/8	5/8	3/4	1	1	0	V64/ii	dcml
14	13	145/4	2.0	0	0	3/4	1	1	0	ii6	dcml
14	13	153/4	2.0	1/2	1/2	3/4	1	1	0	V7	dcml
15	14	161/4	1.5	1/4	1/4	3/4	1	1	0	I\\	dcml
15	14	167/4	0.5	5/8	5/8	3/4	1	1	0	#viio65/ii	dcml
16	15	169/4	2.0	0	0	3/4	1	1	0	ii6	dcml
16	15	177/4	2.0	1/2	1/2	3/4	1	1	0	V7	dcml
17	16	185/4	3.0	1/4	1/4	3/4	1	1	0	I\\	dcml
18	17	197/4	2.0	1/4	1/4	3/4	1	1	0	I6	dcml
19	18	205/4	3.0	0	0	3/4	1	1	0	iv	dcml
20	19	217/4	3.0	0	0	3/4	1	1	0	VI.V65	dcml
21	20	229/4	1.0	0	0	3/4	1	1	0	I(#2)	dcml
21	20	233/4	2.0	1/4	1/4	3/4	1	1	0	I	dcml
22	21	241/4	1.0	0	0	3/4	1	1	0	V2/IV	dcml
22	21	245/4	1.0	1/4	1/4	3/4	1	1	0	IV6	dcml
22	21	249/4	1.0	1/2	1/2	3/4	1	1	0	.It6	dcml
23	22	253/4	2.0	0	0	3/4	1	1	0	V	dcml
23	22	261/4	1.0	1/2	1/2	3/4	1	1	0	i	dcml
24	23	265/4	6.0	0	0	3/4	1	1	0	V	dcml
26	25	289/4	3.0	0	0	3/4	1	1	0	I	dcml
27	26	301/4	2.0	0	0	3/4	1	1	0	i.viio/V	dcml
27	26	309/4	1.0	1/2	1/2	3/4	1	1	0	V	dcml
28	27	313/4	6.0	0	0	3/4	1	1	0	iio	dcml
30	29	337/4	2.5	0	0	3/4	1	1	0	V7\\	dcml
30	29	347/4	3.5	5/8	5/8	3/4	1	1	0	i[i	dcml
32	31	361/4	3.0	0	0	3/4	1	1	0	V2	dcml
33	32	373/4	3.0	0	0	3/4	1	1	0	#viio65	dcml
34	33	385/4	3.0	0	0	3/4	1	1	0	i	dcml
35	34	397/4	3.0	0	0	3/4	1	1	0	#viio65	dcml
36	35	409/4	3.0	0	0	3/4	1	1	0	i]\\	dcml
37	36	421/4	2.5	0	0	3/4	1	1	0	I.I6-V6/IV	dcml
37	36	431/4	0.5	5/8	5/8	3/4	1	1	0	V+6/IV	dcml
38	37	433/4	1.0	0	0	3/4	1	1	0	IV(6#4#2)	dcml
38	37	437/4	2.0	1/4	1/4	3/4	1	1	0	IV	dcml
39	38	445/4	2.0	0	0	3/4	1	1	0	ii	dcml
39	38	453/4	2.0	1/2	1/2	3/4	1	1	0	V7	dcml
40	39	461/4	2.0	1/4	1/4	3/4	1	1	0	I\\	dcml
41	40	469/4	2.0	0	0	3/4	1	1	0	i.ii%65	dcml
41	40	477/4	1.0	1/2	1/2	3/4	1	1	0	ii%43	dcml
42	41	481/4	1.0	0	0	3/4	1	1	0	V(4)	dcml
42	41	485/4	2.0	1/4	1/4	3/4	1	1	0	V	dcml
43	42	493/4	3.0	0	0	3/4	1	1	0	i[i\\	dcml
44	43	505/4	3.0	0	0	3/4	1	1	0	#viio65	dcml
45	44	517/4	3.0	0	0	3/4	1	1	0	i]\\	dcml
